Product,Ľubica Pavíleková  je srobovacia a tesni dobre,0,0.4781,45825,0,
Neutral,https://www.facebook.com/groups/1861950653866488/,0,0.3827,45825,0,
Neutral,"Veronika Hormuzache z pepco za 1,29 bez BPA ? 😉 To ťažko",1,0.4546,45825,0,
Product,Jogurtov dóza e s tesnením?,0,0.2858,45825,0,
Neutral,Aky je to plast?Neviete ci je BPA free?,0,0.5664,45825,0,
Product,Mám pekné tirkisove A sú super :),1,0.9937,45882,0,
Neutral,"Dobrý deň, Erika :) Od 10.1. všetko z letáku už nájdete v predajni :) Prajeme pekný deň. Tím EPPCO",0,0.7723,45882,1,
Neutral,Uz su obchodě?,0,0.332,45882,0,
Neutral,"Dobrý deň, Iveta :) Aktuálne v PEPCO nájdete mnoho krásnych rámikov aj sviečok, príďte si vybrať do predajne PEPCO 😉 Prajeme pekný deň. Tím PEPCO",0,0.9938,46203,1,
Product,Pekne tricko.,1,0.6402,46310,0,
Product,Mikina na Valentína ? 🤣,0,0.3827,46310,0,
Neutral,"Dobrý deň, Štefi :) Veríme, že už čoskoro :) Akonáhle bude všetko pripravené, dátum otvorenia nájdete na našej stránke, alebo tu, na Facebooku 😉 Prajeme pekný deň. Tím PEPCO",2,0.9378,46310,1,
Neutral,Kedy sa prosím otvára nová predajňa Pepco v OC Max v Trnave?,1,0.3272,46310,0,
Product,Vy mate tak super veci rada u vas nakupujem..,1,0.9125,46310,0,
Interaction,💓,1,0.5,48279,0,
Neutral,"Dobrý deň, Blanka. Boxy na pečivo aktuálne nemáme v letáku, preto nevieme zistiť, či na niektorej predajni nie sú. Zásobovanie je riadené centrálne z Poľska, a preto nemáme informácie o tovare plánovanom na doručenie, rovnako ako to nevedia naše predajne. Ďakujeme za porozumenie a prajeme pekný deň. Tím PEPCO",0,0.694,45882,1,
Offer of products,A nahodou boxy na pecivo mat nebudete?,0,0.3219,45882,0,
Interaction,😊,0,0.7938,48345,0,
Product,Maiky Hajnuk a maš :),1,0.8164,45908,0,
Interaction,"",1,0.5,48357,0,
Neutral,Mňa zaujima to kreslo...,0,0.5258,48481,0,
Interaction,"",1,0.5,48520,0,
Interaction,"",0,0.5,48523,0,
Product,Obe su super,1,0.5649,48524,0,
Interaction,Maju aj 128,0,0.3827,45923,0,
Offer of products,Malokde dostat velkost 128.....vsade samá 98/104.,4,0.1741,45923,0,
Unavailability of products,"Ano, pacia sa, len keby boli aj na predajni a dali sa kupit....",1,0.7463,45924,0,
Unavailability of products,Eva Repašanová aspoň 3ks ja som nenašla ziadne,0,0.0853,45923,0,
Product,Luxusné,1,0.3827,45924,0,
Neutral,"Dobrý deň. Je nám ľúto, ak ste v predajni nenašli niektorý typ tovaru z nášho letáku. Distribúcia tovaru je riadená centrálne z Poľska a preto sa môže stať, že niektorý druh tovaru na predajni zo začiatky chýba a je doručený neskôr. Intenzívne pracujeme na zlepšení a veríme, že sa nám podarí podobné situácie úplne eliminovať. Ďakujeme za porozumenie a prajeme pekný deň. Tím PEPCO",1,0.4236,45924,1,
Product,sú krááásne :-),1,0.8164,45924,0,
Product,Nádherné 😍🤔.,1,0.8574,45924,0,
Product,Obom,1,0.4387,48524,0,
Neutral,c.2,1,0.5,48524,0,
Product,Renáta Čarnogurská ideme 😂😂😂,0,0.2667,45923,0,
Unavailability of products,dnes som bola v tn a nemali,0,0.3812,45923,0,
Interaction,dievcata ja vcera unesena ze ake zlavy v POLSKU v pepcu ato aj tu to ja som stretla 128 no chcela som 140 ale ked je uz vypredaj  tak nas tam nebudu cakat vsetky farby a velkosti ja som bola prepkapena ze sa mi dostalo 146/152 pekny vecer,4,0.4827,45923,0,
Offer of products,a pre koho sa vztahuje ked nemate ani 128?,1,0.3812,45923,0,
Offer of products,Áno súhlasím aj väčšie čísla by bodli,0,0.4929,45992,0,
Offer of products,Áno súhlas 😊,0,0.716,45992,0,
Offer of products,Ano suhlasim vsetko malinke kosiky a obvod,0,0.5974,45992,0,
Neutral,Ja som myslela ale toto pradlo,2,0.2175,45992,0,
Neutral,Odkedy plati??,0,0.0789,45992,0,
Product,Lubomír Kejsy Krajnák ako pre nás 💏,3,0.3827,45993,0,
Product,Sú krásne uz mám 😜,0,0.9008,45993,0,
Product,Mike Strank pozri sa kúpim nám take hrnčeky si zoberieš do Fr 😁🤣🤣🤣🤣🤣🤷🏼‍♀️🙏🏻,1,0.5932,45993,0,
Product,Kraaasne 😍😍,1,0.6929,45993,0,
Product,Zajtra si idem po ne 😍😍😍,1,0.6668,45993,0,
Product,Krásne,0,0.8249,45993,0,
Product,Ja už mám takéto krásne od Pepca❤,1,0.8892,45993,0,
Product,"nie,Kropáčková nám doniesla modrý prameň 😊",2,0.6536,45994,0,
Product,Nemôžete ich mať počas celého roka také krásne???,3,0.638,45994,0,
Product,Krásne aj ako svadobné :),3,0.9729,45994,0,
Product,krasne,2,0.8249,45994,0,
Product,Sú krasne,1,0.8249,45994,0,
Neutral,Koľko cm sú vysoké?,0,0.2655,45994,0,
Product,Krásne ❤️,1,0.8249,45994,0,
Unavailability of products,No snad lebo pepco v PN velka slabotA :-(,0,0.0794,45994,0,
Offer of products,Presne,0,0.5418,45992,0,
Offer of products,Presne žienky som rada ze nie som sama... 🌹🙋‍♀️,3,0.7168,45992,0,
Neutral,PEPCO Slovensko môžte podať informáciu ďalej že sme za :),0,0.6278,45992,0,
Neutral,Na obvod sa dá dokúpiť vložka na predĺženie bohužiaľ z košíka C nespravím E-čko😁,0,0.3886,45992,0,
Neutral,Janka Kochanová a prosím vás kde kupujete tu vložku prosím vás,0,0.5,45992,0,
Unavailability of products,Petra Makišová ano su v sklade ja ich mam doma 4 kusi v kazdej farbe,0,0.5345,45992,0,
Neutral,"Dobrý deň, Petra Makišová. Je nám ľúto, že ste nenašli v predajniach body z nášho letáku, žiaľ, naozaj budú doručené s oneskorením, za čo sa Vám ospravedlňujeme. Tím PEPCO",0,0.0301,45992,1,
Neutral,A mozem vediet teda cca kedy budu na predajniach? Dakujem,0,0.4206,45992,0,
Neutral,"Ja mám radšej praktické,na bežné nosenie.",0,0.2075,45992,0,
Product,Branislav Kušmirek kúpiš mi😁😁👄💋,0,0.4259,45992,0,
Product,ijuj ezt meg nezunk 😁,1,0.3812,45993,0,
Product,😍😍,0,0.6929,45993,0,
Product,No ez már kéne Dajana Putnoki😀😀😀,0,0.6361,45993,0,
Unavailability of products,"Zaujimalo by ma,preco ked dojdem do Pepca,mi povedia,ze pradlo z aktualneho letaku ani nedoslo. Trochu potom zavadzanie zakaznika,ked nieco reklamujete,ze to ma byt a na predajni mi povedia ze neni asi ani nebude",1,0.2902,45992,0,
Neutral,"Dobrý deň, dámy. Žiaľ, zatiaľ nemáme informácie o tom, že by sa mala rozšíriť ponuka veľkostí pri spodnom prádle. Nakoľko sa však rozšírila dámska kolekcia o jedno číslo, je možné, že čoskoro tak bude aj pri spodnom prádle 🙂 Prajeme pekný deň. Tím PEPCO",2,0.9017,45992,1,
Product,Už ich mám ..❤️,11,0.5,45993,0,
Absent of e-shop,Eshop nechystáte?,0,0.427,45992,0,
Product,Martina Kardošová jáj preto Tomáš postával ako taký úd 😂😂😂😂😂😂😂😂,0,0.253,45994,0,
Product,Veru ti tak vyzera😂,1,0.3483,45994,0,
Product,Už len doleť aj s nimi 😘❤️,0,0.5402,45994,0,
Product,Pavlína Steinhauserová taketo si kupme na vinko 😂😂,2,0.2862,45994,0,
Product,Krásne,2,0.8249,45994,0,
Product,Wslau nádherné,1,0.6234,45994,0,
Product,"jeeej, ake krasne 😍",1,0.9729,45994,0,
Product,Krasne,1,0.8249,45994,0,
Neutral,"Dobrý deň, Marta :) Áno, poháre sú už v ponuke :) Do niektorých predajní však budú doručené s oneskorením, veríme, že budúci týždeň ich už nájdete v každom PEPCO :) Prajeme pekný deň. Tím PEPCO",4,0.898,45994,1,
Product,Ďakujem. Dnes skúsim šťastie :),0,0.9503,45994,0,
Unavailability of products,Piatok v Martine neboli. Kedy ich budú mať presne v ktorý deň?,0,0.2193,45994,0,
Neutral,"Zuzana Bugalová Krnáčová, je nám ľúto, no presný termín Vám nevieme napísať. Zásobovanie je riadané centrálne z Poľska a tobar je postupne distribuovaný do všetkých predajní. Ďakujeme za porozumnie a prajeme pekný deň. Tím PEPCO",0,0.3093,45994,1,
Product,Kraaaasne <3,0,0.588,45994,0,
Neutral,"",0,0.3827,45994,0,
Product,Krasne😍,1,0.9421,45994,0,
Product,Katarína Janceková  take sme hľadali !,1,0.2793,45994,0,
Product,už je to v predaji? krásne,0,0.7068,45994,0,
Product,"sú nádherné,už ich mám 😍",20,0.9052,45994,0,
Product,Martina Kardošová čo ste chlastali okenu ci vodu do ostrekovačov 😂😂😂,1,0.3082,45994,0,
Product,Svetielka su uzastne,0,0.4392,45997,0,
Product,Martina Balážová aha 😍,1,0.7285,46003,0,
Neutral,9:36,1,0.517,46005,0,
Neutral,"Dobrý deň Veci JaMy :) Ak sa aplikácia nezvyčajne rýchlo ošúchala, tepláčiky reklamujte. V PEPCO máme stále niečo nové, preto veríme, že nájdete aj tepláky bez aplikácie :) Ďakujeme za Vaše milé slová, sme radi, že ste v PEPCO spokojná 🙂 Prajeme pekný deň. Tím PEPCO",0,0.9994,46001,1,
Product,Myslím že reklamácia by nepomohla keďže tie nazehlovacky sú akurát na kolienku a ako každý vieme deti v škôlke veľa po kolienkach ale teplacky sú fajn aj pekne aj štýlové len je nešťastne vyriešené to kolienko inak fajn ;-),1,0.114,46001,0,
Quality,Tepláky sú krásne ale raz ich mal maly v škôlke a hneď tá nazehlovacka riadne ošúchana čo je strašne mínus...lepšie by boli iba čisté bez tých nazehlovaciek na kolienkach inak chválim že tieto krásne veci sú aj v 134 veľkosti takže super,0,0.9378,46001,0,
Offer of products,"Mám celkom dosť šiat z Pepca, ale zvacsa tmava a cierna farba. Mohli by ste doplnit aj nejake pestrejsie. :)",9,0.8825,46004,0,
Neutral,"Dobrý deň, Daniela :) Predajne PEPCO sú zásobované každý druhý deň, preto veríme, že niečo pekné pre slečnu nájdete :) Prajeme pekný deň. Tím PEPCO",1,0.8598,46003,1,
Interaction,San Papierniková,0,0.3827,46003,0,
Offer of products,No ďakujem pekne vcera som bola kupit synovi a žiadne cislo len 92-98 a pani predavačka povedala ze uz ani nebudu a preco?Potom to je aky výpredaj?Ved zima este stale je a vy pancuchy nemate!!!!,3,0.5388,45923,0,
Neutral,"Tünde Katona ak nemaju v RS,tak vo Filakove mame.😉",2,0.4527,46003,0,
Neutral,"Dobrý deň 😊 Aj v Rimavskej Sobote nájdete tieto dievčenské rifle 🙂 Veríme, že si vyberiete aj iné pekné veci, v PEPCO ich máme teraz veľa :) Prajeme pekný deň. Tím PEPCO",0,0.9896,46003,1,
Offer of products,Ani v Lm nie su 128 tiež som hľadala,0,0.3026,45923,0,
Unavailability of products,Dobry den mne sa pacia tie hnede kosiky avsak v Holíči niesu a v Trenčine v Laugariciu mali len jeden,0,0.6542,45924,0,
Offer of products,"Ja som chodila od novembra pozerat asi v 5-6pepco ( TT,BA,GA ) a nasla som AŽ 3ks pancuch vo velkosti 110/116 😞 vsade 92/98",1,0.0524,45923,0,
Unavailability of products,Tak ja som prehladala cely koš s pančuškami v pepcu a len 92/98!! A nič iné.....,0,0.229,45923,0,
Offer of products,Keby že aspoň majú veľkosť 110/116 všetko male cisla,0,0.2922,45923,0,
Product,Martina Mlcalova myslíš Mickey? Áno majú aj tepláky aj mikinu k tomu 😊,1,0.4291,46003,0,
Neutral,"Dobrý deň, Danka :) Ďakujeme za upozornenie, poprosíme kolegov, nech sa na to pozrú a opravia, čo sa bude dať. 🧐🔧⚙️😊 Prajeme pekný deň. Tím PEPCO",1,0.9909,46004,1,
Product,Ja mam ten sivy so srdieckami :):),1,0.8468,45924,0,
Neutral,"Dobrý deň, Zuzka. :) Ďakujeme za tip :) Kolekcie v PEPCO sa celkom často menia a dopĺňajú, preto veríme, že čoskoro nájdete aj šaty v svetlých a veselších farbách. Prajeme pekný deň. Tím PEPCO",4,0.9506,46004,1,
Neutral,"Dobrý deň, Danka :) Už by to malo byť v poriadku, preto ak ste si nestihli naše novinky pozrieť v predajni, už sa dajú priblížiť aj v letáku :) Prajeme pekný deň a ešte raz ďakujeme za upozornenie. Tím PEPCO",1,0.9202,46004,1,
